query,system_name,Precision,Recall,F1-Score
orange denim jacket for kids,Vector Search (LLM),0.1,0.25,0.14285714285714288
orange denim jacket for kids,Baseline,0.4,1.0,0.5714285714285715
blue wool jeans for men,Vector Search (LLM),0.2,0.2,0.20000000000000004
blue wool jeans for men,Baseline,0.5,0.5,0.5
orange casual t-shirt unisex,Vector Search (LLM),0.6,0.8571428571428571,0.7058823529411764
orange casual t-shirt unisex,Baseline,0.7,1.0,0.8235294117647058
black leather t-shirt for women,Vector Search (LLM),0.3,0.3333333333333333,0.3157894736842105
black leather t-shirt for women,Baseline,0.5,0.5555555555555556,0.5263157894736842
blue casual shoes for men,Vector Search (LLM),0.3,0.3,0.3
blue casual shoes for men,Baseline,0.5,0.5,0.5
pink wool sneakers unisex,Vector Search (LLM),0.5,0.7142857142857143,0.588235294117647
pink wool sneakers unisex,Baseline,0.7,1.0,0.8235294117647058
blue formal shoes for kids,Vector Search (LLM),0.3,0.6,0.4
blue formal shoes for kids,Baseline,0.0,0.0,0.0
black cotton sneakers unisex,Vector Search (LLM),0.5,0.5,0.5
black cotton sneakers unisex,Baseline,0.5,0.5,0.5
beige linen jeans for women,Vector Search (LLM),0.2,0.2,0.20000000000000004
beige linen jeans for women,Baseline,0.5,0.5,0.5
beige denim t-shirt unisex,Vector Search (LLM),0.3,0.3333333333333333,0.3157894736842105
beige denim t-shirt unisex,Baseline,0.8,0.8888888888888888,0.8421052631578948
white slim fit blazer for kids,Vector Search (LLM),0.0,0.0,0.0
white slim fit blazer for kids,Baseline,0.7,0.875,0.7777777777777777
yellow linen suit for men,Vector Search (LLM),0.1,0.2,0.13333333333333333
yellow linen suit for men,Baseline,0.1,0.2,0.13333333333333333
gray casual t-shirt unisex,Vector Search (LLM),0.2,0.2,0.20000000000000004
gray casual t-shirt unisex,Baseline,0.5,0.5,0.5
white casual dress for kids,Vector Search (LLM),0.0,0.0,0.0
white casual dress for kids,Baseline,0.5,0.5,0.5
yellow wool sneakers for men,Vector Search (LLM),0.2,0.5,0.28571428571428575
yellow wool sneakers for men,Baseline,0.3,0.75,0.4285714285714285
black wool suit for kids,Vector Search (LLM),0.4,0.5,0.4444444444444445
black wool suit for kids,Baseline,0.3,0.375,0.33333333333333326
white wool blazer for men,Vector Search (LLM),0.2,0.25,0.22222222222222224
white wool blazer for men,Baseline,0.3,0.375,0.33333333333333326
brown linen boots for kids,Vector Search (LLM),0.4,0.4,0.4000000000000001
brown linen boots for kids,Baseline,0.5,0.5,0.5
red slim fit trousers for women,Vector Search (LLM),0.4,0.8,0.5333333333333333
red slim fit trousers for women,Baseline,0.5,1.0,0.6666666666666666
orange linen sneakers for men,Vector Search (LLM),0.0,0.0,0.0
orange linen sneakers for men,Baseline,0.0,0.0,0.0
yellow cotton scarf for women,Vector Search (LLM),0.4,0.5714285714285714,0.47058823529411764
yellow cotton scarf for women,Baseline,0.7,1.0,0.8235294117647058
red formal coat for kids,Vector Search (LLM),0.0,0.0,0.0
red formal coat for kids,Baseline,0.3,1.0,0.4615384615384615
orange casual hoodie for kids,Vector Search (LLM),0.4,0.6666666666666666,0.5
orange casual hoodie for kids,Baseline,0.5,0.8333333333333334,0.625
black wool blazer for men,Vector Search (LLM),0.4,0.4,0.4000000000000001
black wool blazer for men,Baseline,0.5,0.5,0.5
beige oversized dress for men,Vector Search (LLM),0.0,0.0,0.0
beige oversized dress for men,Baseline,0.0,0.0,0.0
blue sportswear sweater for kids,Vector Search (LLM),0.3,0.3,0.3
blue sportswear sweater for kids,Baseline,0.5,0.5,0.5
blue formal coat unisex,Vector Search (LLM),0.0,0.0,0.0
blue formal coat unisex,Baseline,0.5,0.7142857142857143,0.588235294117647
red linen jeans for women,Vector Search (LLM),0.4,0.4,0.4000000000000001
red linen jeans for women,Baseline,0.5,0.5,0.5
pink casual dress unisex,Vector Search (LLM),0.0,0.0,0.0
pink casual dress unisex,Baseline,0.1,1.0,0.18181818181818182
yellow oversized trousers for women,Vector Search (LLM),0.5,0.7142857142857143,0.588235294117647
yellow oversized trousers for women,Baseline,0.7,1.0,0.8235294117647058
red casual boots for men,Vector Search (LLM),0.1,1.0,0.18181818181818182
red casual boots for men,Baseline,0.0,0.0,0.0
black denim jeans for women,Vector Search (LLM),0.0,0.0,0.0
black denim jeans for women,Baseline,0.5,0.5,0.5
orange oversized shoes for men,Vector Search (LLM),0.1,1.0,0.18181818181818182
orange oversized shoes for men,Baseline,0.1,1.0,0.18181818181818182
brown oversized shoes unisex,Vector Search (LLM),0.0,0.0,0.0
brown oversized shoes unisex,Baseline,0.2,0.5,0.28571428571428575
pink linen scarf for men,Vector Search (LLM),0.5,1.0,0.6666666666666666
pink linen scarf for men,Baseline,0.5,1.0,0.6666666666666666
orange denim skirt for kids,Vector Search (LLM),0.3,0.75,0.4285714285714285
orange denim skirt for kids,Baseline,0.4,1.0,0.5714285714285715
orange slim fit t-shirt for kids,Vector Search (LLM),0.7,0.875,0.7777777777777777
